run_id,num_tasks,checkpoint_step,prompt_source,prompt_length,n_samples,n_samples_prior,n_prompts,prompt_idx,dist/ed_vs_baseline_memorising,dist/ed_vs_baseline_generalising,dist/sw_vs_baseline_memorising,dist/sw_vs_baseline_generalising,dist/ed_vs_baseline_misspecified,dist/sw_vs_baseline_misspecified
0m4pu40l,16,150000,memorising,8,100,0,50,39,0.1394941210746765,1.792916629205992,0.0715044734665677,0.5003108003620704,2.0988547801971436,0.5099172813399121
0m4pu40l,16,150000,memorising,8,100,0,50,40,0.1373430788516998,1.659181989169184,0.0582362415549471,0.5236452229302924,1.6371406316757202,0.5136928164938876
0m4pu40l,16,150000,memorising,8,100,0,50,41,0.1182859539985656,2.2473455275598484,0.0540748431780785,0.5480415551521571,1.4348734617233276,0.4114112084186557
0m4pu40l,16,150000,memorising,8,100,0,50,42,0.1126001477241516,1.1963386947306385,0.0509545135724672,0.3791423801072981,1.7456841468811035,0.4420958718069563
0m4pu40l,16,150000,memorising,8,100,0,50,43,0.11561319231987,0.7192275095520546,0.0555103362632833,0.3313948560832551,0.773821234703064,0.3432952870726766
0m4pu40l,16,150000,memorising,8,100,0,50,44,0.1206411719322204,0.485547576163263,0.0560351809379262,0.2280866574608909,0.4979830980300903,0.2106705561063468
0m4pu40l,16,150000,memorising,8,100,0,50,45,0.1167854666709899,2.781691614146413,0.0572943506370602,0.6422460647366767,3.2529001235961914,0.681710196846533
0m4pu40l,16,150000,memorising,8,100,0,50,46,0.1065505295991897,1.5848184853266567,0.0504583384907556,0.4276856413586223,1.5655817985534668,0.4213346178388434
0m4pu40l,16,150000,memorising,8,100,0,50,47,0.1243887245655059,2.925298855576653,0.0542077576810757,0.6490450412136213,3.026301383972168,0.6400948261404296
0m4pu40l,16,150000,memorising,8,100,0,50,48,0.1217383742332458,2.008210815314326,0.0551277735964947,0.5172090723873456,2.488656520843506,0.5647239303869339
0m4pu40l,16,150000,memorising,8,100,0,50,49,0.1405986547470092,0.915883334219769,0.0597262822334853,0.31893678368418,0.7852535247802734,0.2883809922642582
5s87k2pz,256,150000,,0,0,3000,0,0,0.0171847343444824,0.0307111809904028,0.0975160750299629,0.1275727914149647,0.0282594769067601,0.1333330854386233
5s87k2pz,256,150000,generalising,8,100,0,50,0,1.3035273551940918,0.6395954098706094,0.3566727774350209,0.3124957203592741,0.423418641090393,0.264952382205478
5s87k2pz,256,150000,generalising,8,100,0,50,1,1.0218029022216797,0.0745948109521725,0.3540647890956891,0.124116322655867,0.1410654783248901,0.1409433514027606
5s87k2pz,256,150000,generalising,8,100,0,50,2,2.4550037384033203,0.6329467374910791,0.4943187276934084,0.2896498865087177,0.829338788986206,0.338072154246916
5s87k2pz,256,150000,generalising,8,100,0,50,3,1.4118229150772097,0.4258393097852901,0.3597005715499652,0.2362749352513775,0.499478816986084,0.2383170555325151
5s87k2pz,256,150000,generalising,8,100,0,50,4,1.711527705192566,0.0843834157382819,0.4994273541203881,0.1530889957421529,0.1194849014282226,0.1614165843159684
5s87k2pz,256,150000,generalising,8,100,0,50,5,0.8899602890014648,0.234701885815564,0.3144691611412872,0.2114741169213078,0.4422335624694824,0.2724150343654394
5s87k2pz,256,150000,generalising,8,100,0,50,6,1.6863523721694946,0.1127048770643481,0.423176310454246,0.1363226094466192,0.5465973615646362,0.2847096959480207
5s87k2pz,256,150000,generalising,8,100,0,50,7,1.913163423538208,0.3749081275491237,0.5285461513582326,0.2427926284445942,0.4471389055252075,0.2645005429087277
5s87k2pz,256,150000,generalising,8,100,0,50,8,0.8579257726669312,0.0552274515881507,0.3335638448902422,0.1263170834921379,0.1196190118789672,0.1481223710381584
5s87k2pz,256,150000,generalising,8,100,0,50,9,1.0252383947372437,0.4829937980229699,0.3424109671677551,0.2748847967481143,0.4206515550613403,0.2632810785606133
5s87k2pz,256,150000,generalising,8,100,0,50,10,3.24150013923645,1.7023811911384168,0.5856527144267615,0.4636394584847108,1.7010877132415771,0.4659558194629525
